experiment;model;window;samples_summarized;accuracy_train;accuracy_test;presicion;recall;f1_score;train_acc_ten_above;train_test_hundred;f1_hundred;invalid_window
2;XGB;160;605;100.0;99.375;100.0;98.75;99.35483870967741;0;4;4;4
2;DT;176;550;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;176;550;49.28774062816616;51.698412698412696;51.578947368421055;52.41830065359477;51.85656244479774;0;0;0;0
2;KNN;176;550;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;176;550;50.0;50.0;50.0;100.0;66.65699080793419;0;0;0;0
2;NB;176;550;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;176;550;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;176;550;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;176;550;100.0;99.42857142857142;100.0;98.88888888888889;99.42857142857142;0;4;4;4
2;DT;200;484;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;200;484;49.375;50.0;50.0;55.000000000000014;52.38095238095239;0;0;0;0
2;KNN;200;484;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;200;484;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;200;484;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;200;484;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;200;484;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;200;484;100.0;99.5;100.0;99.0;99.48717948717949;0;4;4;4
2;DT;220;440;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;220;440;49.43181818181818;52.27272727272727;52.0;59.0909090909091;55.31914893617021;0;0;0;0
2;KNN;220;440;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;220;440;50.0;50.0;50.0;100.0;66.66666666666666;0;0;0;0
2;NB;220;440;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;220;440;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;220;440;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;220;440;100.0;99.54545454545455;100.0;99.0909090909091;99.53488372093024;0;4;4;4
2;DT;242;400;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;242;400;49.89637305699482;48.34183673469388;48.68686868686869;52.1;50.212765957446805;1;0;0;1
2;KNN;242;400;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;242;400;50.0;50.0;50.0;100.0;66.66419844502036;0;0;0;0
2;NB;242;400;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;242;400;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;242;400;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;242;400;100.0;99.58333333333333;100.0;99.16666666666667;99.57446808510637;0;4;4;4
2;DT;275;352;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;275;352;49.54463183874948;49.29870129870129;49.4179894179894;49.2063492063492;49.29870129870129;0;0;0;0
2;KNN;275;352;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;275;352;50.0;50.0;50.0;100.0;66.66274855519639;0;0;0;0
2;NB;275;352;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;275;352;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;275;352;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;275;352;100.0;99.63636363636364;100.0;99.25925925925927;99.62264150943396;0;4;4;4
2;DT;352;275;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;DUM;352;275;47.16286817596729;50.28169014084507;50.303030303030305;52.873015873015866;51.49890808020647;0;0;0;0
2;KNN;352;275;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;MLP;352;275;50.0;50.0;50.0;100.0;66.66549109504496;0;0;0;0
2;NB;352;275;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;RF;352;275;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;SVM;352;275;100.0;100.0;100.0;100.0;100.0;0;5;5;5
2;XGB;352;275;100.0;99.71428571428571;100.0;99.42857142857142;99.71014492753622;0;4;4;4
2;DT;400;242;100.0;100.0;100.0;100.0;100.0;0;5;5;5
